Business Name,Phone,Phone (Raw),Address,Latitude,Longitude,Source,Rating,Reference URL,Town,Zone,Collected At
Kundasale Auto Service (Pvt) Ltd,94812420130,+94 812 420 130,"Digana, Road, kandy 20168, Sri Lanka",7.29611,80.728901,Google Maps,,"https://www.google.com/maps/place/Kundasale+Auto+Service+(Pvt)+Ltd/@7.29611,80.728901,17z",Digana,Digana,2026-08-04 04:05:38
Kavindu Motors - Digana,94756013029,+94 75 601 3029,"8P6M+WQ2, Gonawala, North, Sri Lanka",7.3122596,80.73439,Google Maps,,"https://www.google.com/maps/place/Kavindu+Motors+-+Digana/@7.3122596,80.73439,17z",Digana,Digana,2026-08-04 04:05:38
Mahanuwara Motors TVS Service Point,94773428962,+94 77 342 8962,"7PRC+7C9, Kengalla, Sri Lanka",7.2906543,80.7211176,Google Maps,,"https://www.google.com/maps/place/Mahanuwara+Motors+TVS+Service+Point/@7.2906543,80.7211176,17z",Digana,Digana,2026-08-04 04:05:38
NALAKA WHEEL ALIGNMENT. DIGANA,94716144810,+94 71 614 4810,"56 Teldeniya Rd, Digana 20005, Sri Lanka",7.3021658,80.7355488,Google Maps,,"https://www.google.com/maps/place/NALAKA+WHEEL+ALIGNMENT.+DIGANA/@7.3021658,80.7355488,17z",Digana,Digana,2026-08-04 04:05:38
POWER MART TYRE AND BATTERY SERVICE,94715398921,+94 71 539 8921,"149A Madawala - Rajawella Rd, Digana 20180, Sri Lanka",7.3005212,80.7321462,Google Maps,,"https://www.google.com/maps/place/POWER+MART+TYRE+AND+BATTERY+SERVICE/@7.3005212,80.7321462,17z",Digana,Digana,2026-08-04 04:51:27
Digana Laksiri Motors,94778788225,+94 77 878 8225,"27 Teldeniya Rd, Digana, Sri Lanka",7.3086335,80.7328203,Google Maps,,"https://www.google.com/maps/place/Digana+Laksiri+Motors/@7.3086335,80.7328203,17z",Digana,Digana,2026-08-04 04:51:27
Victory Motors Digana,94773337081,+94 77 333 7081,"31/A, Pallekale, Kada Veediya, Digana 20180, Sri Lanka",7.2950047,80.7286123,Google Maps,,"https://www.google.com/maps/place/Victory+Motors+Digana/@7.2950047,80.7286123,17z",Digana,Digana,2026-08-04 04:51:27
Maximum Motor,,,"7PWQ+HG2, Digana, Sri Lanka",7.2963925,80.7387675,Google Maps,,"https://www.google.com/maps/place/Maximum+Motor/@7.2963925,80.7387675,17z",Digana,Digana,2026-08-04 04:51:27
OakRay Automobile - Kundasale,94762421421,+94 76 242 1421,"7MMJ+GRG, Galmaduwatta Road, Kundasale 20168, Sri Lanka",7.2835787,80.6821004,Google Maps,,"https://www.google.com/maps/place/OakRay+Automobile+-+Kundasale/@7.2835787,80.6821004,17z",Digana,Digana,2026-08-04 04:51:27
Lakbima Motors Digana,94755987998,+94 75 598 7998,"No 333 /B, Golf Road, Digana, Rajawella, Kandy 20000, Sri Lanka",7.2984142,80.738115,Google Maps,,"https://www.google.com/maps/place/Lakbima+Motors+Digana/@7.2984142,80.738115,17z",Digana,Digana,2026-08-04 05:09:37
