Business Name,Phone,Phone (Raw),Address,Latitude,Longitude,Source,Rating,Reference URL,Town,Zone,Collected At
KAS Auto Parts Pvt Ltd,94772277410,+94 77 227 7410,"No. 79/1 Polwatte Estate, 20168, Sri Lanka",7.2730896,80.6902417,Google Maps,,"https://www.google.com/maps/place/KAS+Auto+Parts+Pvt+Ltd/@7.2730896,80.6902417,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Duminda Auto Parts Kundasale(EV Parts),94776793769,+94 77 679 3769,"7MJM+H5G, Kundasale 20168, Sri Lanka",7.2814375,80.6829375,Google Maps,,"https://www.google.com/maps/place/Duminda+Auto+Parts+Kundasale(EV+Parts)/@7.2814375,80.6829375,17z",Kundasale,Kundasale,2026-08-04 04:31:15
MK motors Kundasale,94772577033,+94 77 257 7033,"72/5 Warapitiya Rd, Kundasale 20168, Sri Lanka",7.2756761,80.6851159,Google Maps,,"https://www.google.com/maps/place/MK+motors+Kundasale/@7.2756761,80.6851159,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Kosala Motors Reconditions Spare Parts,94710468652,+94 71 046 8652,"7MHH+J5R, A26, Nattarampota 20168, Sri Lanka",7.2791119,80.6778849,Google Maps,,"https://www.google.com/maps/place/Kosala+Motors+Reconditions+Spare+Parts/@7.2791119,80.6778849,17z",Kundasale,Kundasale,2026-08-04 04:31:15
KPD Motors,94778788525,+94 77 878 8525,"100 Teldeniya Rd, Menikhinna, Sri Lanka",7.3150165,80.7033536,Google Maps,,"https://www.google.com/maps/place/KPD+Motors/@7.3150165,80.7033536,17z",Kundasale,Kundasale,2026-08-04 04:31:15
S.M.K.Shalitha Enterprises (S.M.K Motors),94812376101,+94 812 376 101,"66/4 karalliyadda, Road, Digana 20180, Sri Lanka",7.3001102,80.7361131,Google Maps,,"https://www.google.com/maps/place/S.M.K.Shalitha+Enterprises+(S.M.K+Motors)/@7.3001102,80.7361131,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Kassi Automotive,94715903599,+94 71 590 3599,"Kundasale 20168, Sri Lanka",7.281299,80.6925986,Google Maps,,"https://www.google.com/maps/place/Kassi+Automotive/@7.281299,80.6925986,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Silva Motor House (New Silva),94812240450,+94 812 240 450,"7MP6+6HQ, Hewaheta Road, Tennekumbura, Kandy 20000, Sri Lanka",7.2855968,80.6614835,Google Maps,,"https://www.google.com/maps/place/Silva+Motor+House+(New+Silva)/@7.2855968,80.6614835,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Sun Motor Trader (pvt) Ltd,,,"152/A DS Senanayake Veediya, Kandy 20000, Sri Lanka",7.2964802,80.6372904,Google Maps,,"https://www.google.com/maps/place/Sun+Motor+Trader+(pvt)+Ltd/@7.2964802,80.6372904,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Indra Motor Spares (PVT) LTD. - Kandy (140),94812234301,+94 812 234 301,"140 DS Senanayake Veediya, Kandy 20000, Sri Lanka",7.2962581,80.6377494,Google Maps,,"https://www.google.com/maps/place/Indra+Motor+Spares+(PVT)+LTD.+-+Kandy+(140)/@7.2962581,80.6377494,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Car Service Store,94714226677,+94 71 422 6677,"Kandy 20000, Sri Lanka",7.2962178,80.6536806,Google Maps,,"https://www.google.com/maps/place/Car+Service+Store/@7.2962178,80.6536806,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Buultjens Enterprises,,,"276 Katugastota Rd, Kandy 20000, Sri Lanka",7.3131127,80.6331112,Google Maps,,"https://www.google.com/maps/place/Buultjens+Enterprises/@7.3131127,80.6331112,17z",Kundasale,Kundasale,2026-08-04 04:31:15
H.K Motors,94777411229,+94 77 741 1229,"41/2 Yakgahapitiya - Amunugama Road, Gunnepana 20270, Sri Lanka",7.3010237,80.6674814,Google Maps,,"https://www.google.com/maps/place/H.K+Motors/@7.3010237,80.6674814,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Mr. Parts,94713319212,+94 71 331 9212,"Summer City Scheme, 01 Temple Road, Kengalla 20186, Sri Lanka",7.298607,80.7137993,Google Maps,,"https://www.google.com/maps/place/Mr.+Parts/@7.298607,80.7137993,17z",Kundasale,Kundasale,2026-08-04 04:31:15
New Star Enterprises,94812376229,+94 812 376 229,"No 197/1 New Town Digana Rajawella, Digana, Rajawella 20180, Sri Lanka",7.2945227,80.7366867,Google Maps,,"https://www.google.com/maps/place/New+Star+Enterprises/@7.2945227,80.7366867,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Sunrise Auto Spa Grand,94812400010,+94 812 400 010,"No.199 New Digana Road, Kundasale 20168, Sri Lanka",7.278367,80.6803688,Google Maps,,"https://www.google.com/maps/place/Sunrise+Auto+Spa+Grand/@7.278367,80.6803688,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Janasiri Motors Stores - Authorized Isuzu Genuine Parts Dealer,94812232612,+94 812 232 612,"173 Colombo St, Kandy 20000, Sri Lanka",7.2943796,80.6360613,Google Maps,,"https://www.google.com/maps/place/Janasiri+Motors+Stores+-+Authorized+Isuzu+Genuine+Parts+Dealer/@7.2943796,80.6360613,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Charlton Auto Parts (Pvt) Ltd,94812388266,+94 812 388 266,"No.365, Colombo Road, Kehelwala Rd, Kiribathkumbura 20442, Sri Lanka",7.2683379,80.5803771,Google Maps,,"https://www.google.com/maps/place/Charlton+Auto+Parts+(Pvt)+Ltd/@7.2683379,80.5803771,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Matara engineers,94771779666,+94 77 177 9666,"9, 7 Arangala - Mahawaththa Rd, Kandy 20000, Sri Lanka",7.290227,80.6728543,Google Maps,,"https://www.google.com/maps/place/Matara+engineers/@7.290227,80.6728543,17z",Kundasale,Kundasale,2026-08-04 04:31:15
SAWIK AUTO MART ( Tyre and Battery shop),94812064534,+94 812 064 534,"3/21, New Digana Road, Henwala Rd, 20168, Sri Lanka",7.2815815,80.6925435,Google Maps,,"https://www.google.com/maps/place/SAWIK+AUTO+MART+(+Tyre+and+Battery+shop)/@7.2815815,80.6925435,17z",Kundasale,Kundasale,2026-08-04 04:31:15
DAYAN ENGINEERING WORKS,94776201966,+94 77 620 1966,"11/3 Swarna Hansa Mawatha, Kalapuraya, Nattarampotha 20194, Sri Lanka",7.2834704,80.6760145,Google Maps,,"https://www.google.com/maps/place/DAYAN+ENGINEERING+WORKS/@7.2834704,80.6760145,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Wickrama Auto Engineers(Mahindra/Piaggio repair/service/spare parts),94716583662,+94 71 658 3662,"no 85 Kandy Road, Menikhinna 20170, Sri Lanka",7.3151041,80.7037262,Google Maps,,"https://www.google.com/maps/place/Wickrama+Auto+Engineers(Mahindra%2FPiaggio+repair%2Fservice%2Fspare+parts)/@7.3151041,80.7037262,17z",Kundasale,Kundasale,2026-08-04 04:31:15
Fork Marketer,94760888423,+94 76 088 8423,"66/4 Katugastota road, Polgolla 20250, Sri Lanka",7.3253051,80.6560315,Google Maps,,"https://www.google.com/maps/place/Fork+Marketer/@7.3253051,80.6560315,17z",Kundasale,Kundasale,2026-08-04 04:31:15
